to manage;to succeed in accomplishing
a gig;a job, usually for a specified time
to whine;to complain about things all the time
angsty;feeling, showing, or expressing anxiety
a mindset;a person's way of thinking and their opinions
to fix;to repair, to mend
advice;a recommendation regarding a decision or course of conduct
to waste;to allow to be used inefficiently
tough love;love or affectionate concern expressed in a stern or unsentimental manner
to assess;to determine the rate or amount of something
to mislay;to lose something temporarily by forgetting where you have put it
empirical;based on what is experienced or seen rather than on theory
a scheme;an officially organized plan or system
to poke fun at sb;to make someone seem stupid by making jokes about them or laughing unkindly
to praise;to express admiration or approval of the achievements or characteristics of a person or thing
to comprise stg;to have things or people as parts or members, to consist of stg
to set out;to start an activity with a particular aim
seemingly;appearing to be something, especially when this is not true
fat;the substance under the skin of humans and animals that stores energy and keeps them warm
within;inside or not further than an area or period of time
to host;to provide the space and other things necessary for a special event
to fasten;to (cause something to) become firmly fixed together, or in position, or closed
to whinge, to whine;to complain about things all the time
