aborder un problème;to address an issue
augmenter;to increase
bien que;although
dans quelle mesure;to what extent
de plus;furthermore
dès le départ;right off the bat
en dépit de;despite
exécution, mise en œuvre;implementation
les résultats;the findings
mettre à nu;to lay bare
pertinent;relevant
puisque;since
se concentrer sur;to focus on
un but (p...);a purpose
un échantillon;a sample
une tendance;a trend
un moyen de;a means to
un résultat (o...);an outcome
un résumé;a summary
viser à, avoir pour but de;to aim to
gâcher;to waste
un conseil (t...);a tip
un conseil (a...);advice
une poubelle (UK);a rubbish bin
une poubelle (US);a trash can
évaluer;to assess
réparer;to fix
se plaindre, geindre;to whine
stupéfier, "scotcher";to blow 
résoudre;to solve
fournir qqch à qn (p...);to provide sb with
fournir qqch à qn (s...);to supply sb with
actuel;current
une étude, un sondage;a survey
développer une compétence;to hone a skill
être engagé à;to be committed to + ING
défendre (une idée);to advocate
développement durable;sustainability

un plan de mesures;a scheme
faire l'éloge de;to praise 
se moquer de;to poke fun at
inclure;to comprise
en apparence;seemingly
accueillir, héberger;to host
se mettre en route, chercher à;to set out
une recette;a recipe
à l'intérieur de;within
attacher, fermer;to fasten
